Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
BO-5200;x;12A;200;Obersee;Uttwil;2;1;15.31;8.55;5.72;s; 7’010’405 ;96.56; 6’769’247 
BO-5202;x;13B;200;Obersee;Uttwil;2;1;14.77;8.28;5.93;s; 1’932’460 ;96.7; 1’868’689 
BO-5203;x;14A;200;Obersee;Uttwil;2;1;15.08;8.73;6.31;s; 4’369’008 ;96.74; 4’226’578 
BO-5204;x;14B;200;Obersee;Uttwil;2;1;14.68;8.41;6.97;s; 1’370’991 ;96.48; 1’322’732 
BO-5205;x;15B;200;Obersee;Uttwil;2;1;13.86;7.78;5.67;s; 2’640’282 ;96.68; 2’552’625 
BO-5206;x;16A;200;Obersee;Uttwil;2;1;13.65;7.68;5.12;s; 4’262’346 ;96.71; 4’122’115 
BO-5207;x;17A;200;Obersee;Uttwil;2;1;12.29;7.01;5.9;s; 4’365’906 ;96.66; 4’220’085 
BO-5208;x;17B;200;Obersee;Uttwil;2;1;14.42;8.06;5.25;s; 2’941’113 ;96.36; 2’834’056 
BO-5209;x;low;65.5;Obersee;Uttwil;2;1;15.94;9.01;6.52;s; 3’811’748 ;95.99; 3’658’897 
BO-5210;x;11A;200;Obersee;Uttwil;2;1;14.41;8.68;5.66;s; 5’176’175 ;96.63; 5’001’738 
BO-5211;x;11B;200;Obersee;Uttwil;2;1;14.6;7.88;5.18;s; 1’885’966 ;96.64; 1’822’598 
BO-5212;x;12B;200;Obersee;Uttwil;2;1;12.99;7.67;5.89;s; 2’623’558 ;96.77; 2’538’817 
BO-5213;x;13A;200;Obersee;Uttwil;2;1;12.94;7.48;5.41;s; 4’833’156 ;96.67; 4’672’212 
BO-5236;x;15B;200;Obersee;Altenrhein;2;1;8.92;5.47;3.24;s; 5’954’504 ;96.72; 5’759’196 
BO-5237;x;16A;200;Obersee;Altenrhein;2;1;9.69;6.19;3.49;s; 3’176’656 ;96.75; 3’073’415 
BO-5240;x;15B;200;Obersee;Altenrhein;1;1;12.88;7.81;4.96;s; 1’700’684 ;96.92; 1’648’303 
BO-5241;x;16A;200;Obersee;Altenrhein;1;1;14.59;8.65;6.71;s; 1’718’836 ;96.73; 1’662’630 
BO-5242;x;16B;200;Obersee;Altenrhein;1;1;16.41;9.01;6.09;s; 3’574’628 ;96.65; 3’454’878 
BO-5243;x;17B;200;Obersee;Altenrhein;1;1;13.56;8.65;6.52;s; 3’975’588 ;96.78; 3’847’574 
BO-5244;x;10A;200;Obersee;Altenrhein;1;1;13.24;7.98;5.89;s; 3’149’120 ;96.85; 3’049’923 
BO-5245;x;10B;200;Obersee;Altenrhein;1;1;14.42;8.73;5.53;s; 4’229’346 ;96.87; 4’096’967 
BO-5246;x;11B;200;Obersee;Altenrhein;1;1;14.15;7.78;5.71;s; 2’721’957 ;96.7; 2’632’132 
BO-5247;x;12B;200;Obersee;Altenrhein;1;1;14.68;8.6;5.7;s; 2’583’079 ;96.64; 2’496’288 
BO-5249;x;13B;200;Obersee;Altenrhein;1;1;15.14;8.52;5.88;s; 2’545’198 ;96.87; 2’465’533 
BO-5250;x;14B;200;Obersee;Altenrhein;1;1;14.1;7.95;5.92;s; 2’009’101 ;96.74; 1’943’604 
BO-5251;x;15A;201.11;Obersee;Altenrhein;1;1;15.13;8.26;6.01;s; 5’000’070 ;96.77; 4’838’568 
BO-5253;x;16B;200;Obersee;Altenrhein;1;1;13.03;7.75;5.92;s; 2’175’264 ;96.68; 2’103’045 
BO-5254;x;low;100;Obersee;Altenrhein;1;1;14.89;8.42;6.24;s; 2’075’904 ;96.76; 2’008’645 
DE-6004;;14A;200;Loebejuen;;1;10;NA;NA;NA;NA; 4’934’310 ;96.03; 4’738’418 
DE-6005;;14B;200;Loebejuen;;1;10;NA;NA;NA;NA; 2’414’507 ;96.69; 2’334’587 
DE-6007;;low;100;Loebejuen;;1;10;NA;NA;NA;NA; 6’108’313 ;96.57; 5’898’798 
DE-6008;;low;62.03;Loebejuen;;1;10;NA;NA;NA;NA; 1’258’202 ;95.67; 1’203’722 
DE-6009;;17A;200;Loebejuen;;1;10;NA;NA;NA;NA; 3’135’923 ;96.82; 3’036’201 
DE-6011;;low;100;Loebejuen;;1;10;NA;NA;NA;NA; 4’890’884 ;96.7; 4’729’485 
DE-6012;;11B;200;Loebejuen;;1;10;NA;NA;NA;NA; 1’913’227 ;96.78; 1’851’621 
DE-6013;;12A;200;Loebejuen;;1;10;NA;NA;NA;NA; 4’042’677 ;96.67; 3’908’056 
DE-6014;;13A;200;Loebejuen;;1;10;NA;NA;NA;NA; 3’659’585 ;96.71; 3’539’185 
DE-6015;;13B;200;Loebejuen;;1;10;NA;NA;NA;NA; 4’294’229 ;96.76; 4’155’096 
DE-6016;;14A;200;Loebejuen;;1;10;NA;NA;NA;NA; 2’751’570 ;96.36; 2’651’413 
DE-6017;;15A;193.52;Loebejuen;;1;10;NA;NA;NA;NA; 4’792’055 ;96.45; 4’621’937 
DE-6018;;15B;200;Loebejuen;;1;10;NA;NA;NA;NA; 1’766’533 ;96.75; 1’709’121 
GE-1004;;14B;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’944’412 ;96.66; 1’879’469 
GE-1006;;16A;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’809’774 ;96.63; 1’748’785 
GE-1008;;17A;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’506’055 ;96.92; 1’459’669 
GE-1010;;10B;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’747’652 ;96.99; 1’695’048 
GE-1012;;13A;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 3’220’412 ;96.75; 3’115’749 
GE-1013;;13B;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 2’156’157 ;96.39; 2’078’320 
GE-1014;;14A;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’385’655 ;96.77; 1’340’898 
GE-1018;;17A;200;Geneve;Stprex;1;1;NA;NA;NA;NA; 1’299’985 ;96.74; 1’257’605 
GE-1029;;10B;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 2’832’278 ;96.83; 2’742’495 
GE-1030;;11A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 2’740’184 ;96.79; 2’652’224 
GE-1031;;12A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 2’670’427 ;96.86; 2’586’576 
GE-1032;;12B;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 1’444’709 ;97.29; 1’405’557 
GE-1033;;13A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 1’376’522 ;97.12; 1’336’878 
GE-1035;;15B;192.29;Geneve;Rivaz;1;1;NA;NA;NA;NA; 1’518’406 ;97.06; 1’473’765 
GE-1036;;16A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 2’555’323 ;96.75; 2’472’275 
GE-1037;;17A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 1’854’272 ;96.73; 1’793’637 
GE-1040;;11A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 1’756’118 ;96.27; 1’690’615 
GE-1061;;low;100;Geneve;Rivaz;1;1;NA;NA;NA;NA; 4’619’347 ;96.64; 4’464’137 
GE-1062;;12A;200;Geneve;Rivaz;1;1;NA;NA;NA;NA; 2’703’125 ;96.87; 2’618’517 
RI-2011;;low;100;Rhein;Wallbach;1;1;21.63;12.51;10.1;NA; 3’648’354 ;96.92; 3’535’985 
NE-0050;;12A;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’451’452 ;96.77; 1’404’570 
NE-0051;;low;100.32;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’734’241 ;96.51; 1’673’716 
NE-0053;;14A;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’783’868 ;96.77; 1’726’249 
NE-0055;;15A;200.52;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 2’536’690 ;96.59; 2’450’189 
NE-0056;;16A;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’805’415 ;96.88; 1’749’086 
NE-0057;;16B;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 2’807’208 ;96.64; 2’712’886 
NE-0058;;17B;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 3’200’973 ;96.78; 3’097’902 
NE-0059;;low;65;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 7’034’749 ;96.55; 6’792’050 
NE-0060;;11A;206.9;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’611’700 ;96.58; 1’556’580 
NE-0061;;11B;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 2’331’737 ;96.7; 2’254’790 
NE-0063;;13A;200;Neuchatel;Staubin;1;1;NA;NA;NA;NA; 1’806’866 ;96.77; 1’748’504 
NE-0076;;17A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 2’790’486 ;96.85; 2’702’586 
NE-0077;;10A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 1’508’163 ;97.05; 1’463’672 
NE-0078;;10B;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 2’510’700 ;96.86; 2’431’864 
NE-0079;;11A;200;Neuchatel;Grandson;1;1;NA;NA;NA;NA; 4’978’389 ;96.75; 4’816’591 
