Sample_id;used in wihtin lakes analysis;Library;ng DNA;Lake basin;Site;Transect;Depth;"Length 
(mm)";"Height
 (mm)";"Width 
(mm)";Phenotype; Reads ;"Mapped 
(%)"; Retained reads after mapping 
BO-5200;x;12A;200;Obersee;Uttwil;2;1;15.31;8.55;5.72;s; 7’010’405.00 ;96.56; 6’769’247.07 
BO-5202;x;13B;200;Obersee;Uttwil;2;1;14.77;8.28;5.93;s; 1’932’460.00 ;96.7; 1’868’688.82 
BO-5203;x;14A;200;Obersee;Uttwil;2;1;15.08;8.73;6.31;s; 4’369’008.00 ;96.74; 4’226’578.34 
BO-5204;x;14B;200;Obersee;Uttwil;2;1;14.68;8.41;6.97;s; 1’370’991.00 ;96.48; 1’322’732.12 
BO-5205;x;15B;200;Obersee;Uttwil;2;1;13.86;7.78;5.67;s; 2’640’282.00 ;96.68; 2’552’624.64 
BO-5206;x;16A;200;Obersee;Uttwil;2;1;13.65;7.68;5.12;s; 4’262’346.00 ;96.71; 4’122’114.82 
BO-5207;x;17A;200;Obersee;Uttwil;2;1;12.29;7.01;5.9;s; 4’365’906.00 ;96.66; 4’220’084.74 
BO-5208;x;17B;200;Obersee;Uttwil;2;1;14.42;8.06;5.25;s; 2’941’113.00 ;96.36; 2’834’056.49 
BO-5209;x;low;65.5;Obersee;Uttwil;2;1;15.94;9.01;6.52;s; 3’811’748.00 ;95.99; 3’658’896.91 
BO-5210;x;11A;200;Obersee;Uttwil;2;1;14.41;8.68;5.66;s; 5’176’175.00 ;96.63; 5’001’737.90 
BO-5211;x;11B;200;Obersee;Uttwil;2;1;14.6;7.88;5.18;s; 1’885’966.00 ;96.64; 1’822’597.54 
BO-5212;x;12B;200;Obersee;Uttwil;2;1;12.99;7.67;5.89;s; 2’623’558.00 ;96.77; 2’538’817.08 
BO-5213;x;13A;200;Obersee;Uttwil;2;1;12.94;7.48;5.41;s; 4’833’156.00 ;96.67; 4’672’211.91 
BO-5236;x;15B;200;Obersee;Altenrhein;2;1;8.92;5.47;3.24;s; 5’954’504.00 ;96.72; 5’759’196 
BO-5237;x;16A;200;Obersee;Altenrhein;2;1;9.69;6.19;3.49;s; 3’176’656.00 ;96.75; 3’073’415 
BO-5321;;13B;200;Obersee;Altenrhein;1;30;15.83;8.2;4.49;d; 534’931.00 ;97.1; 519’418 
BO-5326;;16B;200;Obersee;Altenrhein;1;30;13.05;7.29;4.09;d; 685’039.00 ;96.55; 661’405 
BO-5323;;14B;200;Obersee;Altenrhein;1;30;15.93;8.77;4.58;d; 1’410’884.00 ;96.7; 1’364’325 
BO-5332;;13A;200;Obersee;Altenrhein;1;30;14.92;7.94;4.7;d; 1’680’911.00 ;96.83; 1’627’626 
BO-5329;;11A;200;Obersee;Altenrhein;1;30;13.35;7.08;4.25;d; 1’831’314.00 ;96.73; 1’771’430 
BO-5331;;12B;200;Obersee;Altenrhein;1;30;14.68;7.3;4.45;d; 1’867’575.00 ;96.92; 1’810’054 
BO-5319;;12A;200;Obersee;Altenrhein;1;30;13.27;6.9;4.14;d; 1’874’572.00 ;96.78; 1’814’211 
BO-5325;;16A;200;Obersee;Altenrhein;1;30;14.29;7.41;4.42;d; 1’971’285.00 ;96.85; 1’909’190 
BO-5240;x;15B;200;Obersee;Altenrhein;1;1;12.88;7.81;4.96;s; 1’700’684.00 ;96.92; 1’648’303 
BO-5324;;15B;200;Obersee;Altenrhein;1;30;15.26;7.52;4.45;d; 2’086’333.00 ;96.91; 2’021’865 
BO-5328;;10B;200;Obersee;Altenrhein;1;30;14.12;7.57;5.08;d; 2’492’935.00 ;96.87; 2’414’906 
BO-5330;;11B;200;Obersee;Altenrhein;1;30;14.48;6.97;4.08;d; 2’614’147.00 ;96.71; 2’528’142 
BO-5322;;14A;200;Obersee;Altenrhein;1;30;15.63;8.3;5.62;d; 2’924’274.00 ;96.81; 2’830’990 
BO-5333;;13B;200;Obersee;Altenrhein;1;30;14.79;7.53;4.79;d; 3’041’989.00 ;96.86; 2’946’471 
BO-5320;;12B;200;Obersee;Altenrhein;1;30;15.39;8.07;4.97;d; 3’250’402.00 ;96.79; 3’146’064 
BO-5327;;17B;200;Obersee;Altenrhein;1;30;14.56;7.17;3.91;d; 3’349’458.00 ;97.16; 3’254’333 
BO-5241;x;16A;200;Obersee;Altenrhein;1;1;14.59;8.65;6.71;s; 1’718’836.00 ;96.73; 1’662’630 
BO-5269;;13B;200;Obersee;Altenrhein;2;30;14.14;7.44;4.4;d; 1’410’484.00 ;96.88; 1’366’477 
BO-5242;x;16B;200;Obersee;Altenrhein;1;1;16.41;9.01;6.09;s; 3’574’628.00 ;96.65; 3’454’878 
BO-5243;x;17B;200;Obersee;Altenrhein;1;1;13.56;8.65;6.52;s; 3’975’588.00 ;96.78; 3’847’574 
BO-5275;;11B;200;Obersee;Altenrhein;2;30;15.61;8.59;5.14;d; 1’748’288.00 ;96.69; 1’690’420 
BO-5262;;16B;200;Obersee;Altenrhein;2;30;16.49;8.22;4.97;d; 2’048’847.00 ;96.74; 1’982’055 
BO-5271;;17A;200;Obersee;Altenrhein;2;30;15.18;7.75;4.74;d; 2’249’253.00 ;96.74; 2’175’927 
BO-5268;;12B;200;Obersee;Altenrhein;2;30;14;8;4.83;d; 2’367’714.00 ;96.89; 2’294’078 
BO-5244;x;10A;200;Obersee;Altenrhein;1;1;13.24;7.98;5.89;s; 3’149’120.00 ;96.85; 3’049’923 
BO-5245;x;10B;200;Obersee;Altenrhein;1;1;14.42;8.73;5.53;s; 4’229’346.00 ;96.87; 4’096’967 
BO-5263;;17B;200;Obersee;Altenrhein;2;30;14.43;8.39;5.42;d; 2’853’297.00 ;96.75; 2’760’565 
BO-5246;x;11B;200;Obersee;Altenrhein;1;1;14.15;7.78;5.71;s; 2’721’957.00 ;96.7; 2’632’132 
BO-5273;;10B;200;Obersee;Altenrhein;2;30;13.96;7.8;4.61;d; 3’008’036.00 ;96.81; 2’912’080 
BO-5247;x;12B;200;Obersee;Altenrhein;1;1;14.68;8.6;5.7;s; 2’583’079.00 ;96.64; 2’496’288 
BO-5249;x;13B;200;Obersee;Altenrhein;1;1;15.14;8.52;5.88;s; 2’545’198.00 ;96.87; 2’465’533 
BO-5266;;11B;200;Obersee;Altenrhein;2;30;13.13;7.1;4.37;d; 3’035’348.00 ;96.62; 2’932’753 
BO-5274;;11A;200;Obersee;Altenrhein;2;30;15.05;7.94;4.53;d; 3’559’977.00 ;96.72; 3’443’210 
BO-5267;;12A;200;Obersee;Altenrhein;2;30;15.31;8.16;4.83;d; 3’614’159.00 ;96.76; 3’497’060 
BO-5264;;10A;200;Obersee;Altenrhein;2;30;15.45;8.16;4.8;d; 3’632’270.00 ;96.73; 3’513’495 
BO-5270;;16B;200;Obersee;Altenrhein;2;30;14.6;7.88;4.87;d; 4’033’980.00 ;96.54; 3’894’404 
BO-5250;x;14B;200;Obersee;Altenrhein;1;1;14.1;7.95;5.92;s; 2’009’101.00 ;96.74; 1’943’604 
BO-5251;x;15A;201.11;Obersee;Altenrhein;1;1;15.13;8.26;6.01;s; 5’000’070.00 ;96.77; 4’838’568 
BO-5265;;10B;200.83;Obersee;Altenrhein;2;30;14.82;8.87;4.6;d; 4’757’317.00 ;96.77; 4’603’656 
BO-5253;x;16B;200;Obersee;Altenrhein;1;1;13.03;7.75;5.92;s; 2’175’264.00 ;96.68; 2’103’045 
BO-5276;;12B;200;Obersee;Altenrhein;2;30;13.82;7.71;4.43;d; 5’034’549.00 ;96.81; 4’873’947 
BO-5302;;low;100;Obersee;Altenrhein;1;60;12.41;6.97;3.57;d; 588’545.00 ;96.68; 569’005 
BO-5298;;17B;200;Obersee;Altenrhein;1;60;10.9;5.8;3.04;d; 654’412.00 ;96.96; 634’518 
BO-5299;;10A;200;Obersee;Altenrhein;1;60;12.11;6.73;3.53;d; 871’321.00 ;97.07; 845’791 
BO-5306;;15A;199.95;Obersee;Altenrhein;1;60;12.34;6.56;3.28;d; 881’629.00 ;96.79; 853’329 
BO-5300;;low;100;Obersee;Altenrhein;1;60;14.78;7.93;4.33;d; 1’177’343.00 ;96.79; 1’139’550 
BO-5308;;16B;200;Obersee;Altenrhein;1;60;13.91;7.68;4.65;d; 1’326’691.00 ;96.62; 1’281’849 
BO-5254;x;low;100;Obersee;Altenrhein;1;1;14.89;8.42;6.24;s; 2’075’904.00 ;96.76; 2’008’645 
BO-5305;;low;100;Obersee;Altenrhein;1;60;14.43;7.48;4.07;d; 1’584’380.00 ;96.74; 1’532’729 
BO-5307;;15B;200;Obersee;Altenrhein;1;60;15.52;8.36;4.61;d; 2’193’064.00 ;96.95; 2’126’176 
BO-5303;;12B;200;Obersee;Altenrhein;1;60;12.4;6.43;3.08;d; 2’215’305.00 ;96.74; 2’143’086 
BO-5310;;17B;200;Obersee;Altenrhein;1;60;14.08;7.49;4.07;d; 3’166’163.00 ;96.82; 3’065’479 
BO-5304;;13B;200;Obersee;Altenrhein;1;60;10.63;5.62;3.41;d; 3’470’856.00 ;96.72; 3’357’012 
BO-5311;;10B;200;Obersee;Altenrhein;1;60;12.95;6.59;3.77;d; 3’568’343.00 ;96.84; 3’455’583 
BO-5312;;11A;200;Obersee;Altenrhein;1;60;12.25;6.66;3.2;d; 4’507’518.00 ;96.76; 4’361’474 
BO-5301;;11B;200;Obersee;Altenrhein;1;60;13.95;7.62;4.72;d; 5’107’918.00 ;96.63; 4’935’781 
